LAND;BEZ;LOR_ab_2021;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;USTRZUSTAND
11;11;11501238;2021;12;23;1;2;8;1;2;0;1;0;0;0;0;1
11;5;5200527;2021;12;22;6;2;6;4;2;0;1;1;0;0;0;1
11;1;1200517;2021;12;7;4;3;6;4;1;0;1;1;0;0;0;1
11;7;7300516;2021;12;15;3;2;0;6;0;0;1;0;0;0;1;0
11;5;5200629;2021;12;12;3;3;6;4;0;0;1;1;0;0;0;0
11;4;4501041;2021;12;23;7;3;5;2;2;0;1;0;0;0;0;0
11;1;1300834;2021;12;6;3;3;2;2;2;0;1;0;0;0;0;0
11;2;2200211;2021;12;23;3;3;0;1;2;0;0;0;1;0;0;2
11;2;2400520;2021;12;20;3;3;4;6;2;1;1;0;0;0;0;0
11;12;12200309;2021;12;14;2;3;2;6;0;0;1;0;0;1;0;1
11;2;2200213;2021;12;13;6;2;0;1;0;1;1;0;0;0;0;0
11;8;8100312;2021;12;21;5;3;3;6;2;1;0;0;0;0;1;0
11;11;11300620;2021;12;18;5;3;3;6;2;0;1;0;0;0;1;0
11;1;1400937;2021;11;17;2;3;1;5;2;0;1;0;0;0;0;1
11;4;4100102;2021;12;7;4;3;2;6;0;0;1;0;0;0;0;0
11;1;1100313;2021;12;8;5;3;6;2;0;0;1;1;0;0;0;1
11;5;5100209;2021;12;2;7;3;5;2;2;0;1;0;0;0;0;1
11;11;11400931;2021;11;5;3;3;6;2;2;0;1;1;0;0;0;1
11;1;1401045;2021;12;18;7;2;2;1;2;0;1;0;0;0;1;1
11;6;6200421;2021;12;14;2;3;5;3;0;0;1;0;0;0;0;0
11;3;3601449;2021;12;17;4;2;5;2;2;0;1;0;0;0;0;0
11;9;9401534;2021;12;9;4;3;3;6;0;0;1;0;0;0;1;0
11;11;11400928;2021;12;17;5;3;5;2;2;0;1;0;1;0;0;1
11;1;1401048;2021;12;7;2;3;2;6;1;0;1;0;0;0;0;1
11;5;5100314;2021;12;3;7;2;5;7;2;0;1;0;0;0;1;2
11;2;2500833;2021;12;20;4;3;5;7;2;1;1;0;0;0;0;1
11;3;3400620;2021;12;5;3;3;5;2;1;0;1;0;0;0;1;0
11;10;10100311;2021;12;17;5;2;9;1;2;0;0;0;1;0;0;1
11;2;2300419;2021;12;14;6;3;5;3;0;0;1;0;0;0;0;1
11;9;9501939;2021;12;17;2;3;1;5;2;1;1;0;0;0;0;0
11;3;3601245;2021;12;17;3;3;5;3;2;1;1;0;0;0;0;1
11;9;9401534;2021;12;16;4;3;2;2;2;0;1;0;0;0;0;0
11;12;12500928;2021;12;16;5;3;2;2;2;0;1;0;0;0;0;0
11;2;2200210;2021;12;5;1;3;5;3;2;0;1;0;0;0;0;1
11;9;9200715;2021;11;14;3;3;6;4;0;0;0;1;0;0;1;1
